Label,Amount,Direction,Open price,Close price,Profit/Loss,Profit/Loss in pips,Open date,Close date,Comment
nextDay_BUY_2552,0.02,BUY,1.47145,1.47221,15.2,7.6,1/3/2008 4:31,1/3/2008 16:11,
nextDay_BUY_2553,0.001,BUY,1.47145,1.47221,0.76,7.6,1/3/2008 4:31,1/3/2008 16:11,
nextDay_BUY_2554,0.1,BUY,1.47041,1.47221,180,18,1/3/2008 8:05,1/3/2008 16:11,
nextDay_BUY_2555,0.001,BUY,1.47041,1.47221,1.8,18,1/3/2008 8:05,1/3/2008 16:11,
nextDay_BUY_2556,0.2,BUY,1.47041,1.47221,360,18,1/3/2008 8:05,1/3/2008 16:11,
nextDay_BUY_2557,0.001,BUY,1.47041,1.47221,1.8,18,1/3/2008 8:05,1/3/2008 16:11,
nextDay_SELL_2558,0.04,SELL,1.47411,1.4784,-171.6,-42.9,1/4/2008 4:31,1/4/2008 16:11,
nextDay_SELL_2559,0.5,SELL,1.47133,1.4784,-3535,-70.7,1/4/2008 12:00,1/4/2008 16:11,
nextDay_BUY_2560,0.01,BUY,1.47,1.4714,14,14,1/8/2008 4:31,1/8/2008 16:11,
nextDay_BUY_2561,0.045,BUY,1.46916,1.4714,100.8,22.4,1/8/2008 6:42,1/8/2008 16:11,
nextDay_BUY_2562,0.09,BUY,1.46916,1.4714,201.6,22.4,1/8/2008 6:42,1/8/2008 16:11,
nextDay_SELL_2563,0.04,SELL,1.46583,1.47356,-309.2,-77.3,1/10/2008 4:31,1/10/2008 16:11,
nextDay_SELL_2564,0.045,SELL,1.46659,1.47356,-313.65,-69.7,1/10/2008 8:05,1/10/2008 16:11,
nextDay_SELL_2565,0.09,SELL,1.46659,1.47356,-627.3,-69.7,1/10/2008 8:05,1/10/2008 16:11,
nextDay_SELL_2566,0.045,SELL,1.46843,1.47356,-230.85,-51.3,1/10/2008 10:05,1/10/2008 16:11,
nextDay_SELL_2567,0.09,SELL,1.46843,1.47356,-461.7,-51.3,1/10/2008 10:05,1/10/2008 16:11,
nextDay_SELL_2568,0.14,SELL,1.46635,1.47356,-1009.4,-72.1,1/10/2008 12:51,1/10/2008 16:11,
nextDay_BUY_2569,0.01,BUY,1.48088,1.47894,-19.4,-19.4,1/11/2008 4:31,1/11/2008 16:11,
nextDay_BUY_2570,0.001,BUY,1.48088,1.47894,-1.94,-19.4,1/11/2008 4:31,1/11/2008 16:11,
nextDay_BUY_2571,0.045,BUY,1.48002,1.47894,-48.6,-10.8,1/11/2008 6:31,1/11/2008 16:11,
nextDay_BUY_2572,0.001,BUY,1.48002,1.47894,-1.08,-10.8,1/11/2008 6:31,1/11/2008 16:11,
nextDay_BUY_2573,0.09,BUY,1.48002,1.47894,-97.2,-10.8,1/11/2008 6:31,1/11/2008 16:11,
nextDay_BUY_2574,0.001,BUY,1.48002,1.47894,-1.08,-10.8,1/11/2008 6:31,1/11/2008 16:11,
nextDay_BUY_2575,0.175,BUY,1.47922,1.47894,-49,-2.8,1/11/2008 8:32,1/11/2008 16:11,
nextDay_BUY_2576,0.001,BUY,1.47922,1.47894,-0.28,-2.8,1/11/2008 8:32,1/11/2008 16:11,
nextDay_BUY_2577,0.35,BUY,1.47922,1.47894,-98,-2.8,1/11/2008 8:32,1/11/2008 16:11,
nextDay_BUY_2578,0.001,BUY,1.47922,1.47894,-0.28,-2.8,1/11/2008 8:32,1/11/2008 16:11,
nextDay_BUY_2579,0.06,BUY,1.47787,1.47894,64.2,10.7,1/11/2008 10:02,1/11/2008 16:11,
nextDay_BUY_2580,0.001,BUY,1.47787,1.47894,1.07,10.7,1/11/2008 10:02,1/11/2008 16:11,
nextDay_BUY_2581,0.03,BUY,1.4777,1.47894,37.2,12.4,1/11/2008 12:04,1/11/2008 16:11,
nextDay_BUY_2582,0.001,BUY,1.4777,1.47894,1.24,12.4,1/11/2008 12:04,1/11/2008 16:11,
nextDay_BUY_2583,0.06,BUY,1.4777,1.47894,74.4,12.4,1/11/2008 12:04,1/11/2008 16:11,
nextDay_BUY_2584,0.001,BUY,1.4777,1.47894,1.24,12.4,1/11/2008 12:04,1/11/2008 16:11,
nextDay_BUY_2585,0.06,BUY,1.47821,1.47894,43.8,7.3,1/11/2008 13:26,1/11/2008 16:11,
nextDay_BUY_2586,0.001,BUY,1.47821,1.47894,0.73,7.3,1/11/2008 13:26,1/11/2008 16:11,
nextDay_BUY_2587,0.02,BUY,1.48784,1.48783,-0.2,-0.1,1/15/2008 4:31,1/15/2008 13:11,
nextDay_BUY_2588,0.045,BUY,1.48689,1.48783,42.3,9.4,1/15/2008 6:31,1/15/2008 13:11,
nextDay_BUY_2589,0.09,BUY,1.48689,1.48783,84.6,9.4,1/15/2008 6:31,1/15/2008 13:11,
nextDay_BUY_2590,0.35,BUY,1.48548,1.48783,822.5,23.5,1/15/2008 8:31,1/15/2008 13:11,
nextDay_BUY_2591,0.7,BUY,1.48548,1.48783,1645,23.5,1/15/2008 8:31,1/15/2008 13:11,
nextDay_BUY_2592,0.06,BUY,1.48575,1.48783,124.8,20.8,1/15/2008 11:08,1/15/2008 13:11,
nextDay_BUY_2593,0.06,BUY,1.48611,1.48783,103.2,17.2,1/15/2008 12:11,1/15/2008 13:11,
nextDay_BUY_2594,0.06,BUY,1.48611,1.48783,103.2,17.2,1/15/2008 12:11,1/15/2008 13:11,
nextDay_SELL_2595,0.23,SELL,1.48783,1.4879,-16.1,-0.7,1/15/2008 13:11,1/15/2008 13:11,
nextDay_SELL_2596,0.23,SELL,1.48783,1.4879,-16.1,-0.7,1/15/2008 13:11,1/15/2008 13:11,
nextDay_SELL_2597,0.02,SELL,1.46532,1.46883,-70.2,-35.1,1/17/2008 4:31,1/17/2008 16:11,
nextDay_SELL_2598,0.16,SELL,1.46629,1.46883,-406.4,-25.4,1/17/2008 6:33,1/17/2008 16:11,
nextDay_SELL_2599,0.32,SELL,1.46629,1.46883,-812.8,-25.4,1/17/2008 6:33,1/17/2008 16:11,
nextDay_SELL_2600,0.16,SELL,1.46715,1.46883,-268.8,-16.8,1/17/2008 11:21,1/17/2008 16:11,
nextDay_SELL_2601,0.16,SELL,1.46715,1.46883,-268.8,-16.8,1/17/2008 11:21,1/17/2008 16:11,
nextDay_SELL_2602,0.07,SELL,1.46729,1.46883,-107.8,-15.4,1/17/2008 15:31,1/17/2008 16:11,
nextDay_SELL_2603,0.14,SELL,1.46729,1.46883,-215.6,-15.4,1/17/2008 15:31,1/17/2008 16:11,
nextDay_SELL_2604,0.14,SELL,1.46729,1.46883,-215.6,-15.4,1/17/2008 15:31,1/17/2008 16:11,
nextDay_SELL_2605,0.03,SELL,1.46852,1.46883,-9.3,-3.1,1/17/2008 15:37,1/17/2008 16:11,
nextDay_SELL_2606,0.06,SELL,1.46852,1.46883,-18.6,-3.1,1/17/2008 15:37,1/17/2008 16:11,
nextDay_SELL_2607,0.01,SELL,1.46542,1.46231,31.1,31.1,1/18/2008 4:31,1/18/2008 16:11,
nextDay_SELL_2608,0.22,SELL,1.46485,1.46231,558.8,25.4,1/18/2008 12:00,1/18/2008 16:11,
nextDay_SELL_2609,0.02,SELL,1.44303,1.43928,75,37.5,1/22/2008 4:31,1/22/2008 7:38,
nextDay_BUY_2611,0.02,BUY,1.43928,1.45042,222.8,111.4,1/22/2008 7:38,1/22/2008 11:02,
nextDay_BUY_2610,0.02,BUY,1.43928,1.45809,376.2,188.1,1/22/2008 7:38,1/22/2008 13:20,
nextDay_BUY_2612,0.23,BUY,1.45073,1.45809,1692.8,73.6,1/22/2008 12:00,1/22/2008 13:20,
nextDay_BUY_2613,0.01,BUY,1.46165,1.46358,19.3,19.3,1/24/2008 4:31,1/24/2008 10:56,
nextDay_SELL_2614,0.5,SELL,1.46358,1.46642,-1420,-28.4,1/24/2008 10:56,1/24/2008 11:16,
nextDay_SELL_2615,0.5,SELL,1.46358,1.46642,-1420,-28.4,1/24/2008 10:56,1/24/2008 11:16,
nextDay_BUY_2616,0.01,BUY,1.47586,1.47018,-56.8,-56.8,1/25/2008 4:31,1/25/2008 12:03,
nextDay_BUY_2617,0.22,BUY,1.47038,1.47036,-4.4,-0.2,1/25/2008 12:00,1/25/2008 16:11,
nextDay_BUY_2618,0.22,BUY,1.47007,1.47036,63.8,2.9,1/25/2008 12:03,1/25/2008 16:11,
nextDay_BUY_2619,0.02,BUY,1.47686,1.47627,-11.8,-5.9,1/29/2008 4:31,1/29/2008 16:11,
nextDay_BUY_2620,0.15,BUY,1.47604,1.47627,34.5,2.3,1/29/2008 7:15,1/29/2008 16:11,
nextDay_BUY_2621,0.3,BUY,1.47604,1.47627,69,2.3,1/29/2008 7:15,1/29/2008 16:11,
nextDay_BUY_2622,0.02,BUY,1.48438,1.48698,52,26,1/31/2008 4:31,1/31/2008 13:11,
nextDay_BUY_2623,0.001,BUY,1.48438,1.48698,2.6,26,1/31/2008 4:31,1/31/2008 13:11,
nextDay_BUY_2624,0.62,BUY,1.48357,1.48698,2114.2,34.1,1/31/2008 8:10,1/31/2008 13:11,
nextDay_BUY_2625,0.001,BUY,1.48357,1.48698,3.41,34.1,1/31/2008 8:10,1/31/2008 13:11,
nextDay_BUY_2626,1.24,BUY,1.48357,1.48698,4228.4,34.1,1/31/2008 8:10,1/31/2008 13:11,
nextDay_BUY_2627,0.001,BUY,1.48357,1.48698,3.41,34.1,1/31/2008 8:10,1/31/2008 13:11,
nextDay_SELL_2628,0.25,SELL,1.48698,1.48685,32.5,1.3,1/31/2008 13:11,1/31/2008 13:11,
nextDay_SELL_2629,0.001,SELL,1.48698,1.48685,0.13,1.3,1/31/2008 13:11,1/31/2008 13:11,
nextDay_SELL_2630,0.25,SELL,1.48698,1.48685,32.5,1.3,1/31/2008 13:11,1/31/2008 13:11,
nextDay_SELL_2631,0.001,SELL,1.48698,1.48685,0.13,1.3,1/31/2008 13:11,1/31/2008 13:11,
nextDay_BUY_2632,0.01,BUY,1.48724,1.4889,16.6,16.6,2/1/2008 4:31,2/1/2008 8:16,
